Sec,Queue,Dynamic
0,0.000000,0.000000
0.066667,9.208152,46.040760
0.133333,8.664288,12.895860
0.200000,8.513736,7.487820
0.266667,8.199168,10.582500
0.333333,8.380728,11.817720
0.400000,8.523528,5.938440
0.466667,8.839116,10.729380
0.533333,8.996604,11.291400
0.600000,9.034752,5.104080
0.666667,9.063720,12.555180
0.733333,9.376248,12.185940
0.800000,9.458052,7.090020
0.866667,9.608808,11.222040
0.933333,9.724680,11.143500
1.000000,9.764664,6.814620
1.066667,9.926028,10.949700
1.133333,9.987840,10.574340
1.200000,10.070052,7.094100
1.266667,10.235292,10.036800
1.333333,9.994572,10.213260
1.400000,10.112688,6.893160
1.466667,10.157976,10.365240
1.533333,10.247736,10.290780
1.600000,10.346472,6.762600
1.666667,10.395840,10.102080
1.733333,10.588008,10.428480
1.800000,10.630848,6.728940
1.866667,10.884216,10.946640
1.933333,11.205108,11.080260
2.000000,11.358312,6.900300
2.066667,11.560884,11.538240
2.133333,11.667168,11.595360
2.200000,11.722860,7.165500
2.266667,11.712048,11.228160
2.333333,11.768760,11.093520
2.400000,11.772840,7.148160
2.466667,11.830164,10.342800
2.533333,11.831388,9.983760
2.600000,11.870352,7.103280
2.666667,11.913192,9.830760
2.733333,11.891160,9.255480
2.800000,11.886876,6.692220
2.866667,11.944200,8.803620
2.933333,11.941956,8.712840
3.000000,11.859744,5.998620
3.066667,11.917884,8.417040
3.133333,11.949912,8.493540
3.200000,12.010704,5.573280
3.266667,11.929920,8.118180
3.333333,11.961132,7.668360
3.400000,11.979696,4.985760
3.466667,11.998056,7.810140
3.533333,12.054564,7.766280
3.600000,12.048240,3.733200
3.666667,12.193692,7.634700
3.733333,12.330168,7.657140
3.800000,12.494796,3.166080
3.866667,12.619440,7.392960
3.933333,12.770808,6.414780
4.000000,12.908712,3.260940
4.066667,13.059060,6.316860
4.133333,13.217772,6.720780
4.200000,13.224912,2.972280
4.266667,13.344864,7.229760
4.333333,13.326096,5.387640
4.400000,13.304472,2.503080
4.466667,13.427891,3.767880
4.533333,13.576200,4.053480
4.600000,13.642909,2.067540
4.666667,13.454819,4.002480
4.733333,13.568040,3.972900
4.800000,13.662083,2.271540
4.866667,13.777752,4.748100
4.933333,13.906272,4.741980
5.000000,13.936464,3.197700
5.066667,13.992157,6.159780
5.133333,13.962576,5.840520
5.200000,13.986648,2.878440
5.266667,14.043971,6.620820
5.333333,14.086813,6.764640
5.400000,14.106600,3.892320
5.466667,14.092115,6.503520
5.533333,14.308152,7.704060
5.600000,14.461763,4.239120
5.666667,14.793672,8.932140
5.733333,15.243696,10.793640
5.800000,15.441984,5.958840
5.866667,15.961368,11.356680
5.933333,16.328365,12.262440
6.000000,16.572960,6.584100
6.066667,16.929347,12.889740
6.133333,17.138653,12.674520
6.200000,17.185981,8.299740
6.266667,17.387736,14.626800
6.333333,17.052768,14.909340
6.400000,17.136611,8.360940
6.466667,17.265744,13.752660
6.533333,17.411400,13.293660
6.600000,17.551139,8.662860
6.666667,17.624784,13.583340
6.733333,17.728416,13.164120
6.800000,17.987496,8.523120
6.866667,18.144576,13.041720
6.933333,18.228829,13.423200
7.000000,18.344701,8.443560
7.066667,18.323485,13.680240
7.133333,18.332867,14.030100
7.200000,18.331032,8.758740
7.266667,18.243720,14.122920
7.333333,18.529320,15.362220
7.400000,18.806557,9.079020
7.466667,19.114392,14.997060
7.533333,19.530755,15.034800
7.600000,19.680493,8.981100
7.666667,20.057280,14.963400
7.733333,20.240472,16.146600
7.800000,20.400611,9.648180
7.866667,20.515667,17.556240
7.933333,20.598288,17.608260
8.000000,20.636435,11.418900
8.066667,20.728643,17.259420
8.133333,20.718035,17.527680
8.200000,20.729869,10.726320
8.266666,20.762099,18.041760
8.333333,20.808408,18.033600
8.400000,20.863080,10.520280
8.466666,20.885725,17.790840
8.533334,21.042803,18.162120
8.600000,21.138685,11.355660
8.666667,21.281280,18.166200
8.733334,21.368797,17.494020
8.800000,21.370019,10.290780
8.866667,21.416736,16.819800
8.933333,21.450600,16.618860
9.000000,21.477120,9.063720
9.066667,21.567288,16.172100
9.133333,21.538320,14.443200
9.200000,21.604211,7.690800
9.266666,21.621757,14.081100
9.333333,21.719064,14.125980
9.400000,21.766800,6.853380
9.466666,21.664800,13.244700
9.533334,21.723757,11.012940
9.600000,21.760477,5.388660
9.666667,21.554232,10.069440
9.733334,21.605232,8.913780
9.800000,21.697235,4.404360
9.866667,21.785363,9.347280
9.933333,21.713965,8.922960
10.000000,21.635219,4.343160
10.066667,21.535872,7.715280
10.133333,21.303720,7.704060
10.200000,21.299843,4.173840
10.266666,21.153168,8.318100
10.333333,21.000984,7.248120
10.400000,20.970179,3.584280
10.466666,20.737824,7.537800
10.533334,20.654387,7.265460
10.600000,20.584621,2.641800
10.666667,20.605427,6.073080
10.733334,20.554429,6.495360
10.800000,20.536883,2.721360
10.866667,20.437128,6.738120
10.933333,20.276989,6.077160
11.000000,20.253325,2.589780
11.066667,20.224355,4.595100
11.133333,20.212931,5.223420
11.200000,20.192941,2.365380
11.266666,20.085432,5.186700
11.333333,19.560541,5.688540
11.400000,19.558499,2.429640
11.466666,19.526064,5.187720
11.533334,19.445280,4.440060
