Sec,Queue,Dynamic
0,9.208152,46.040760
0.066667,8.664288,43.321440
0.133333,8.513736,42.568680
0.200000,8.199168,40.995840
0.266667,8.380728,41.903640
0.333333,8.523528,42.617640
0.400000,8.839116,44.195580
0.466667,8.996604,44.983020
0.533333,9.034752,52.612620
0.600000,9.063720,49.018140
0.666667,9.376248,49.555680
0.733333,9.458052,47.062800
0.800000,9.608808,47.572800
0.866667,9.724680,48.295980
0.933333,9.764664,47.634000
1.000000,9.926028,46.632360
1.066667,9.987840,46.598700
1.133333,10.070052,43.602960
1.200000,10.235292,43.652940
1.266667,9.994572,44.333280
1.333333,10.112688,42.677820
1.400000,10.157976,40.917300
1.466667,10.247736,40.809180
1.533333,10.346472,36.475200
1.600000,10.395840,34.810560
1.666667,10.588008,36.003960
1.733333,10.630848,34.466820
1.800000,10.884216,35.391960
1.866667,11.205108,37.278960
1.933333,11.358312,37.214700
2.000000,11.560884,37.010700
2.066667,11.667168,38.598840
2.133333,11.722860,36.503760
2.200000,11.712048,35.718360
2.266667,11.768760,36.736320
2.333333,11.772840,35.276700
2.400000,11.830164,35.418480
2.466667,11.831388,36.197760
2.533333,11.870352,34.328100
2.600000,11.913192,33.588600
2.666667,11.891160,34.396440
2.733333,11.886876,31.903560
2.800000,11.944200,30.750960
2.866667,11.941956,31.406820
2.933333,11.859744,29.717700
3.000000,11.917884,29.194440
3.066667,11.949912,29.495340
3.133333,12.010704,28.295820
3.200000,11.929920,27.077940
3.266667,11.961132,27.383940
3.333333,11.979696,25.678500
3.400000,11.998056,24.023040
3.466667,12.054564,24.570780
3.533333,12.048240,22.697040
3.600000,12.193692,23.373300
3.666667,12.330168,24.925740
3.733333,12.494796,23.654820
3.800000,12.619440,24.118920
3.866667,12.770808,25.272540
3.933333,12.908712,24.393300
4.000000,13.059060,23.516100
4.066667,13.217772,24.243360
4.133333,13.224912,22.569540
4.200000,13.344864,22.908180
4.266667,13.326096,23.280480
4.333333,13.304472,22.677660
4.400000,13.427891,22.189080
4.466667,13.576200,22.523640
4.533333,13.642909,20.747820
4.600000,13.454819,19.185180
4.666667,13.568040,20.118480
4.733333,13.662083,18.498720
4.800000,13.777752,17.261460
4.866667,13.906272,17.482800
4.933333,13.936464,15.863040
5.000000,13.992157,15.422400
