Sec,Queue,Dynamic
0,9.509664,47.548320
0.066667,9.045768,13.996440
0.133333,9.011496,8.615940
0.200000,9.078000,15.459120
0.266667,9.239364,14.709420
0.333333,9.392976,6.841140
0.400000,9.578004,11.853420
0.466667,9.503748,12.205320
0.533333,9.525576,6.109800
0.600000,9.226104,12.786720
0.666667,8.990280,11.676960
0.733333,8.943360,6.556560
0.800000,8.862576,10.523340
0.866667,8.982936,10.265280
0.933333,9.015372,6.310740
1.000000,9.160620,10.127580
1.066667,9.231408,9.899100
1.133333,9.310356,6.504540
1.200000,9.452952,9.320760
1.266667,9.238548,9.346260
1.333333,9.336876,6.295440
1.400000,9.390936,9.581880
1.466667,9.474372,9.491100
1.533333,9.572904,6.234240
1.600000,9.679596,9.694080
1.666667,9.977232,10.324440
1.733333,10.050876,6.520860
1.800000,10.227132,10.557000
1.866667,10.488252,10.808940
1.933333,10.596168,6.759540
2.000000,10.715916,11.022120
2.066667,10.780380,10.797720
2.133333,10.840764,6.667740
2.200000,10.819548,10.248960
2.266667,10.862796,10.282620
2.333333,10.879524,6.532080
2.400000,10.919712,9.651240
2.466667,10.929912,9.167760
2.533333,10.952352,6.608580
2.600000,11.002944,9.092280
2.666667,10.976628,8.625120
2.733333,10.971936,6.269940
2.800000,11.038236,8.166120
2.866667,11.032728,8.016180
2.933333,10.965204,5.619180
3.000000,11.033544,7.755060
3.066667,11.066796,7.848900
3.133333,11.102088,5.211180
3.200000,11.059452,7.569420
3.266667,11.060880,7.137960
3.333333,11.091276,4.709340
3.400000,11.102496,7.315440
3.466667,11.315472,7.975380
3.533333,11.405028,4.493100
3.600000,11.605764,8.540460
3.666667,11.857908,8.286480
3.733333,12.051096,3.575100
3.800000,12.248976,7.662240
3.866667,12.419112,6.803400
3.933333,12.520092,4.005540
4.000000,12.717360,7.353180
4.066667,12.755100,8.104920
4.133333,12.654324,3.447600
4.200000,12.595776,7.078800
4.266667,12.533964,5.602860
4.333333,12.497652,2.662200
4.400000,12.590064,3.829080
4.466667,12.660240,3.862740
4.533333,12.726132,2.043060
4.600000,12.539676,3.873960
4.666667,12.630456,3.925980
4.733333,12.726948,2.231760
4.800000,12.854040,4.605300
4.866667,12.970320,4.733820
4.933333,12.964200,3.127320
5.000000,13.019688,5.841540
5.066667,13.000920,5.637540
5.133333,12.998268,2.853960
5.200000,13.014996,6.450480
5.266667,13.159632,7.033920
5.333333,13.261836,4.621620
5.400000,13.469712,7.734660
5.466667,13.595987,8.920920
5.533333,13.683096,4.943940
5.600000,14.147400,11.022120
5.666667,14.571517,11.224080
5.733333,14.725536,5.918040
5.800000,15.180864,10.899720
5.866667,15.535416,12.133920
5.933333,15.797760,6.813600
6.000000,16.044600,13.033560
