Sec,Queue,Dynamic
14.133333,18.267792,0.316200
14.200000,18.190680,0.951660
14.266666,18.191904,0.934320
14.333333,18.140496,0.353940
14.400000,18.109080,0.825180
14.466666,18.121728,0.213180
14.533334,18.151920,0.000000
14.600000,17.870195,0.413100
14.666667,17.861424,0.248880
14.733334,17.913648,0.159120
14.800000,17.813075,0.831300
14.866667,17.834088,0.398820
14.933333,17.854691,0.030600
15.000000,17.870400,0.016320
15.066667,17.814912,0.077520
15.133333,17.835517,0.011220
15.200000,17.827357,0.372300
15.266666,17.805936,0.670140
15.333333,17.795939,0.264180
15.400000,17.811240,0.542640
15.466666,17.891005,0.665040
15.533334,17.978928,0.337620
15.600000,18.114995,1.198500
15.666667,18.038291,1.252560
15.733334,17.969544,0.656880
15.800000,17.862240,1.605480
15.866667,17.645184,1.654440
15.933333,17.515235,0.695640
16.000000,17.432003,1.554480
16.066668,17.448120,2.023680
16.133333,17.443224,1.461660
16.200001,17.533800,2.068560
16.266666,17.340205,2.258280
16.333334,17.376925,1.085280
16.400000,17.443632,1.756440
16.466667,17.501976,1.769700
16.533333,17.453424,0.921060
16.600000,17.433432,1.131180
16.666666,17.408339,0.781320
16.733334,17.397731,0.395760
16.799999,17.402832,0.771120
16.866667,17.413848,0.596700
16.933332,17.406096,0.171360
17.000000,17.469336,0.593640
17.066668,17.462605,0.593640
17.133333,17.473213,0.189720
17.200001,17.486880,0.429420
17.266666,17.526253,0.309060
17.333334,17.566440,0.094860
17.400000,17.563584,0.165240
17.466667,17.582147,0.177480
17.533333,17.556035,0.006120
17.600000,17.555832,0.554880
17.666666,17.543389,0.488580
17.733334,17.546653,0.079560
17.799999,17.554813,0.567120
17.866667,17.560320,0.557940
17.933332,17.346120,0.225420
18.000000,17.349997,0.343740
18.066668,17.398141,0.368220
18.133333,17.417112,0.058140
18.200001,17.405280,0.573240
18.266666,17.418336,0.961860
18.333334,17.444448,0.534480
18.400000,17.430576,1.347420
18.466667,17.527272,2.284800
18.533333,17.565011,1.231140
18.600000,17.637840,2.204220
18.666666,17.834904,2.689740
18.733334,17.888352,2.178720
18.799999,18.031152,3.173220
18.866667,18.245352,3.395580
18.933332,18.338784,2.021640
19.000000,18.525648,3.009000
19.066668,18.741683,3.165060
19.133333,18.743315,2.479620
19.200001,18.593171,3.331320
19.266666,18.353880,2.797860
19.333334,18.298800,1.487160
19.400000,18.152531,2.096100
19.466667,17.962200,1.829880
19.533333,17.889168,0.897600
19.600000,17.549304,1.527960
19.666666,17.391408,1.062840
19.733334,17.309808,0.537540
19.799999,17.167619,0.618120
19.866667,17.067864,0.226440
19.933332,17.057053,0.009180
20.000000,17.037264,0.034680
20.066668,17.047056,0.055080
20.133333,17.036856,0.022440
20.200001,17.056848,0.141780
20.266666,17.110093,0.194820
20.333334,17.172312,0.105060
20.400000,17.182717,0.252960
20.466667,17.351219,0.571200
20.533333,17.394061,0.554880
20.600000,17.392429,0.769080
20.666666,17.534003,1.050600
20.733334,17.572968,0.523260
20.799999,17.647224,1.356600
20.866667,17.779619,1.552440
20.933332,17.828579,0.547740
21.000000,17.815320,1.183200
21.066668,17.711280,0.795600
21.133333,17.680477,0.454920
21.200001,17.591736,0.769080
21.266666,17.284717,1.304580
21.333334,17.286349,0.607920
21.400000,17.327149,0.837420
21.466667,17.322048,0.725220
21.533333,17.327149,0.470220
21.600000,17.349587,0.739500
21.666666,17.404669,0.499800
Time taken by function in seconds:
12.019391
