Sec,Queue,Dynamic
14.133333,10.653288,0.219300
14.200000,10.624728,0.153000
14.266666,10.585152,0.445740
14.333333,10.594128,0.425340
14.400000,10.572504,0.172380
14.466666,10.559040,0.380460
14.533334,10.565160,0.094860
14.600000,10.585968,0.000000
14.666667,10.460712,0.246840
14.733334,10.451124,0.119340
14.800000,10.500696,0.078540
14.866667,10.458264,0.379440
14.933333,10.463568,0.190740
15.000000,10.465608,0.015300
15.066667,10.465608,0.006120
15.133333,10.432764,0.028560
15.200000,10.443372,0.001020
15.266666,10.435620,0.178500
15.333333,10.428072,0.306000
15.400000,10.449696,0.107100
15.466666,10.453980,0.257040
15.533334,10.490700,0.315180
15.600000,10.543536,0.165240
15.666667,10.598004,0.583440
15.733334,10.556388,0.584460
15.800000,10.527216,0.334560
15.866667,10.477644,0.731340
15.933333,10.391964,0.795600
16.000000,10.328316,0.301920
16.066668,10.281192,0.721140
16.133333,10.275480,0.952680
16.200001,10.273440,0.678300
16.266666,10.317912,0.960840
16.333334,10.195308,1.069980
16.400000,10.229580,0.535500
16.466667,10.249164,0.807840
16.533333,10.301796,0.829260
16.600000,10.270584,0.455940
16.666666,10.265892,0.531420
16.733334,10.264464,0.375360
16.799999,10.265484,0.192780
16.866667,10.277316,0.367200
16.933332,10.280988,0.303960
17.000000,10.275480,0.091800
17.066668,10.322604,0.301920
17.133333,10.316076,0.282540
17.200001,10.327296,0.082620
17.266666,10.335048,0.210120
17.333334,10.351980,0.145860
17.400000,10.378296,0.046920
17.466667,10.363404,0.073440
17.533333,10.374216,0.064260
17.600000,10.364424,0.003060
17.666666,10.361364,0.264180
17.733334,10.342188,0.232560
17.799999,10.350348,0.042840
17.866667,10.350348,0.260100
17.933332,10.346064,0.223380
18.000000,10.177560,0.115260
18.066668,10.189188,0.176460
18.133333,10.210200,0.173400
18.200001,10.223460,0.030600
18.266666,10.250592,0.285600
18.333334,10.269360,0.450840
18.400000,10.279356,0.241740
18.466667,10.249164,0.595680
18.533333,10.213872,0.568140
18.600000,10.194492,0.278460
18.666666,10.829748,3.490440
18.733334,11.478264,4.818480
18.799999,11.596788,4.026960
18.866667,12.012132,7.331760
18.933332,12.497856,7.989660
19.000000,12.785496,5.322360
19.066668,13.367304,7.617360
19.133333,13.873837,7.480680
19.200001,14.057843,4.982700
19.266666,14.515416,6.433140
19.333334,14.592120,8.610840
19.400000,14.332429,5.106120
19.466667,13.644131,7.182840
19.533333,13.063140,6.355620
19.600000,12.779580,3.408840
19.666666,12.055380,4.704240
19.733334,11.439912,3.024300
19.799999,11.194908,1.479000
19.866667,10.837500,1.942080
19.933332,10.541700,1.184220
20.000000,10.436232,0.492660
20.066668,10.254876,0.235620
20.133333,10.115340,0.048960
20.200001,10.077600,0.011220
20.266666,10.093512,0.073440
20.333334,10.107792,0.111180
20.400000,10.129620,0.048960
20.466667,10.141452,0.109140
20.533333,10.221012,0.273360
20.600000,10.235088,0.267240
20.666666,10.238760,0.359040
20.733334,10.275276,0.499800
20.799999,10.309752,0.277440
20.866667,10.325460,0.636480
20.933332,10.379724,0.645660
21.000000,10.403388,0.188700
21.066668,10.448472,0.411060
21.133333,10.427460,0.266220
21.200001,10.415628,0.227460
21.266666,10.376868,0.386580
21.333334,10.220604,0.702780
21.400000,10.231008,0.320280
21.466667,10.238148,0.429420
21.533333,10.228356,0.328440
21.600000,10.237944,0.198900
21.666666,10.243860,0.361080
21.733334,10.273644,0.246840
21.799999,10.255488,0.094860
21.866667,10.283028,0.211140
21.933332,10.294044,0.214200
22.000000,10.300572,0.093840
22.066668,10.305060,0.181560
22.133333,10.298940,0.116280
22.200001,10.293228,0.038760
22.266666,10.298328,0.096900
22.333334,10.297716,0.100980
22.400000,10.293840,0.019380
22.466667,10.289964,0.169320
22.533333,10.310772,0.194820
22.600000,10.349328,0.105060
22.666666,10.403388,0.328440
22.733334,10.439292,0.348840
22.799999,10.451940,0.190740
22.866667,10.445412,0.337620
22.933332,10.753248,1.640160
23.000000,11.050884,2.096100
23.066668,11.741424,2.971260
23.133333,12.198384,3.947400
23.200001,12.339552,3.776040
23.266666,12.621480,6.658560
23.333334,12.736944,7.259340
23.400000,12.655548,5.281560
23.466667,12.465624,7.410300
23.533333,12.297528,7.274640
23.600000,12.297528,5.394780
23.666666,12.273660,6.754440
23.733334,12.253464,6.396420
23.799999,12.237348,4.478820
23.866667,12.222048,5.780340
23.933332,12.198996,5.630400
24.000000,12.180228,3.986160
24.066668,12.161256,5.362140
24.133333,12.063744,5.074500
24.200001,12.012132,3.603660
24.266666,11.950116,4.836840
24.333334,11.857092,4.838880
24.400000,11.800992,3.456780
24.466667,11.775084,4.426800
24.533333,11.753256,4.264620
24.600000,11.727756,2.748900
24.666666,11.596788,3.871920
24.733334,11.566800,3.411900
24.799999,11.564760,2.162400
24.866667,11.584344,3.082440
24.933332,11.534772,2.965140
25.000000,11.494788,1.948200
25.066668,11.470104,3.016140
25.133333,11.419920,2.979420
25.200001,11.430324,1.916580
25.266666,11.390136,2.801940
25.333334,11.381160,2.697900
25.400000,11.389932,1.799280
25.466667,11.387892,2.689740
25.533333,11.319552,2.667300
25.600000,11.330772,1.642200
25.666666,11.414208,3.155880
25.733334,11.941140,5.991480
25.799999,12.198996,5.572260
25.866667,12.788352,10.167360
25.933332,13.374240,12.754080
26.000000,13.596192,10.677360
26.066668,13.852211,15.761040
26.133333,14.064371,16.004820
26.200001,14.263885,11.531100
26.266666,14.530512,17.478720
26.333334,14.557440,16.693320
26.400000,14.604973,10.679400
26.466667,14.700445,15.776340
26.533333,14.749403,15.497880
26.600000,14.678208,9.620640
26.666666,14.544995,14.108640
26.733334,14.318760,12.979500
26.799999,14.209824,7.763220
26.866667,14.200440,11.545380
26.933332,14.235120,10.925220
27.000000,14.213291,6.140400
27.066668,14.185957,10.155120
27.133333,14.318557,10.377480
27.200001,14.458294,6.611640
27.266666,14.854054,10.892580
27.333334,15.756144,11.121060
27.400000,16.390787,7.489860
27.466667,17.703530,12.316500
27.533333,18.972611,13.066200
27.600000,19.658461,8.818920
27.666666,20.734970,14.514600
27.733334,21.855541,14.452380
27.799999,22.479168,9.573720
27.866667,23.570976,15.175560
27.933332,24.453478,15.239820
28.000000,24.007536,11.226120
28.066668,25.252141,15.874260
28.133333,26.191152,16.350600
28.200001,26.501434,11.114940
28.266666,27.249504,17.027880
28.333334,28.220339,17.012580
28.400000,28.462490,11.482140
28.466667,29.377018,17.929560
28.533333,30.217702,18.373260
28.600000,30.511667,12.384840
28.666666,31.418854,20.696820
28.733334,32.127757,21.816780
28.799999,32.250154,13.977060
28.866667,32.712218,21.588300
28.933332,32.933965,20.405100
29.000000,32.902752,12.462360
29.066668,33.098797,18.779220
29.133333,33.205485,17.986680
29.200001,33.078803,10.729380
29.266666,33.208547,17.411400
29.333334,33.314221,16.887120
29.400000,33.269136,10.221420
29.466667,33.541885,16.492380
29.533333,33.650208,16.780020
29.600000,33.674688,10.675320
29.666666,32.001072,17.097240
29.733334,32.628371,16.209840
29.799999,32.842979,10.009260
29.866667,33.016787,16.989120
29.933332,33.155098,16.865700
30.000000,33.242413,9.680820
30.066668,33.152243,17.526660
30.133333,33.378685,17.367540
30.200001,33.361142,9.310560
30.266666,33.638989,17.312460
30.333334,33.895622,17.064600
30.400000,33.862778,8.981100
30.466667,34.106557,16.825920
30.533333,34.201827,16.767780
30.600000,34.204070,9.252420
30.666666,34.301786,17.330820
30.733334,34.593504,17.182920
30.799999,34.719984,10.275480
30.866667,35.117376,16.630080
30.933332,35.192858,15.784500
31.000000,35.293430,8.469060
31.066668,35.343818,15.128640
31.133333,35.279149,13.253880
31.200001,35.242630,7.770360
31.266666,35.407466,13.009080
31.333334,34.987837,12.933600
31.400000,34.989469,5.944560
31.466667,34.799546,11.577000
31.533333,34.878493,10.473360
31.600000,34.832592,4.945980
31.666666,34.828102,10.062300
31.733334,34.660010,9.759360
31.799999,34.431936,4.146300
31.866667,34.453968,9.361560
31.933332,34.376653,9.323820
32.000000,34.288320,3.928020
32.066666,34.275670,9.395220
32.133335,34.214470,8.717940
32.200001,34.052086,3.537360
32.266666,34.189990,8.073300
32.333332,34.239155,7.653060
32.400002,34.143683,2.830500
32.466667,34.078611,6.227100
32.533333,34.009248,4.900080
32.599998,33.920714,2.401080
32.666668,33.864205,4.755240
32.733334,33.935603,4.684860
32.799999,33.834419,1.713600
32.866665,33.864410,4.093260
32.933334,33.809939,3.436380
33.000000,33.638173,1.753380
33.066666,33.483539,2.812140
33.133335,33.605331,2.368440
33.200001,33.486803,0.849660
33.266666,33.485171,1.677900
33.333332,33.333805,1.663620
33.400002,33.250979,0.219300
33.466667,33.791987,3.869880
33.533333,35.229578,8.461920
33.599998,35.907674,7.862160
33.666668,37.455622,13.315080
33.733334,38.930749,14.467680
33.799999,39.749197,10.163280
33.866665,40.649446,17.603160
33.933334,40.835085,21.172140
34.000000,41.224320,17.076840
34.066666,42.199642,27.612420
34.133335,43.291043,29.075100
34.200001,43.695987,23.094840
34.266666,45.257197,34.075140
34.333332,45.857162,33.190800
34.400002,46.177440,22.167660
34.466667,46.920611,30.362340
34.533333,47.072186,28.233600
34.599998,47.136035,17.904060
34.666668,47.941427,26.507760
34.733334,47.984470,24.846180
34.799999,47.931024,15.143940
34.866665,47.608499,24.033240
34.933334,47.794141,23.488560
35.000000,47.970397,14.194320
35.066666,48.285373,22.656240
35.133335,48.307200,22.346160
35.200001,48.418992,13.280400
35.266666,48.121968,20.166420
35.333332,47.812294,19.619700
35.400002,47.593606,11.927880
35.466667,47.144806,18.621120
35.533333,46.735789,18.445680
35.599998,46.709270,11.218980
35.666668,46.600128,17.751060
35.733334,46.332074,16.327140
35.799999,46.179683,9.701220
35.866665,45.886944,14.965440
35.933334,45.509136,14.309580
36.000000,45.283309,8.388480
36.066666,45.048912,13.883220
36.133335,45.010150,12.676560
36.200001,44.969760,7.279740
36.266666,44.796358,11.560680
36.333332,44.197210,11.408700
36.400002,44.155187,5.939460
36.466667,44.016877,9.653280
36.533333,43.987296,9.172860
36.599998,43.929770,4.962300
36.666668,43.902432,8.173260
36.733334,43.863878,7.799940
36.799999,43.859997,4.420680
36.866665,43.812058,7.504140
36.933334,43.767587,6.667740
37.000000,43.745149,3.586320
37.066666,43.716179,6.627960
37.133335,43.668035,6.307680
37.200001,43.647635,3.228300
37.266666,43.624787,5.875200
37.333332,43.605408,5.952720
37.400002,43.493824,2.532660
37.466667,43.431603,6.041460
37.533333,43.478723,6.295440
37.599998,43.396102,2.385780
37.666668,43.274522,6.214860
37.733334,43.260442,6.010860
37.799999,43.336538,2.022660
37.866665,43.260445,5.735460
37.933334,43.349187,5.070420
38.000000,42.821027,2.250120
38.066666,42.853667,3.690360
38.133335,42.693734,3.181380
38.200001,42.583776,0.425340
38.266666,42.722086,1.747260
38.333332,43.596838,5.544720
38.400002,44.192112,2.907000
38.466667,45.188243,6.686100
38.533333,46.231094,7.230780
38.599998,46.811270,3.863760
38.666668,47.744160,7.368480
38.733334,48.838822,7.166520
38.799999,49.355962,3.801540
38.866665,50.362912,7.469460
38.933334,51.242349,6.968640
39.000000,51.578950,2.991660
39.066666,52.170346,5.723220
39.133335,52.723597,5.340720
39.200001,52.904342,4.421700
39.266666,53.436986,8.747520
39.333332,54.022867,8.817900
39.400002,54.308269,4.679760
39.466667,54.682202,10.909920
39.533333,55.230349,12.534780
39.599998,55.512890,6.460680
39.666668,56.514323,13.461960
39.733334,57.077363,13.855680
39.799999,57.273408,9.036180
39.866665,57.863578,16.205760
39.933334,58.475987,16.004820
40.000000,58.945594,8.628180
40.066666,59.368486,14.292240
40.133335,59.744051,13.743480
40.200001,59.993549,7.876440
40.266666,60.161638,13.458900
40.333332,60.393997,14.273880
40.400002,60.692858,8.654700
40.466667,61.097184,16.361820
40.533333,61.439091,16.396500
40.599998,61.571686,9.490080
40.666668,62.091680,18.990360
40.733334,62.804454,19.972620
40.799999,63.120051,11.268960
40.866665,63.742861,20.219460
40.933334,64.281830,19.553400
41.000000,64.588646,10.666140
41.066666,65.185958,19.462620
41.133335,65.787347,18.896520
41.200001,66.127213,10.160220
41.266666,66.623744,18.801660
41.333332,68.654362,19.034220
41.400002,68.948941,9.840960
41.466667,69.428339,17.806140
41.533333,69.581747,18.288600
41.599998,69.613165,9.973560
41.666668,69.712307,17.906100
41.733334,69.869798,17.459340
41.799999,69.947520,8.859720
41.866665,70.096032,16.063980
41.933334,70.614803,16.022160
42.000000,70.875923,8.894400
42.066666,71.666624,15.957900
42.133335,72.143373,15.273480
42.200001,72.344723,8.111040
42.266666,72.736608,14.698200
42.333332,73.139302,14.499300
42.400002,73.110746,8.372160
42.466667,73.433882,15.487680
42.533333,73.684806,15.510120
42.599998,73.872883,8.476200
42.666668,74.204390,15.349980
42.733334,74.500397,14.926680
42.799999,74.550989,8.529240
42.866665,74.815770,13.913820
42.933334,75.039565,14.651280
43.000000,75.085875,8.758740
43.066666,75.412064,13.956660
43.133335,75.762138,13.539480
43.200001,75.959808,8.111040
43.266666,76.094451,13.258980
43.333332,76.334150,12.967260
43.400002,76.394330,7.765260
43.466667,76.394125,12.605160
43.533333,76.472058,12.097200
43.599998,76.532640,7.798920
43.666668,76.885760,13.953600
43.733334,77.261120,13.834260
43.799999,77.424730,8.005980
43.866665,77.669939,13.396680
